RegionName,VMA,Chip,Type,FeatureOption
-----EXT_READ_ONLY_INT-----,,,,
EXT_READ_ONLY_INT,0x70018000 ,MT6280,,
EXT_READ_ONLY_INT,0xBF018000 ,MT6290,,
-----EXT_READ_WRITE_INT-----,,,,
EXT_READ_WRITE_INT,.,MT6280,,
EXT_READ_WRITE_INT,.,MT6290,,
-----BL_INFO_NOR----- # sysram_base,,,,
BL_INFO_NOR,0x70000040,MT6280,NOR,

-----STACK_AREA_NOINIT-----,,,,
STACK_AREA_NOINIT,0x7001f000,MT6280,,
STACK_AREA_NOINIT,0xBF02f000,MT6290,,
-----EXT_READ_WRITE-----,,,,
EXT_READ_WRITE,.,,NAND,
EXT_READ_WRITE,.,,XIP,
EXT_READ_WRITE,[CS1_Base]+72K,,NOR
